Index,period,org_code,type,attendances,breaches,admissions
236,2017-03-01,RBN,1,8808,1757,3497
238,2017-03-01,RWJ,1,8174,1652,2699
239,2017-03-01,RMP,1,7390,869,1708
240,2017-03-01,RTD,1,10697,1131,2116
243,2017-03-01,RFR,1,6515,1054,1671
245,2017-03-01,RM2,1,8420,685,2478
246,2017-03-01,RTX,1,7121,1411,2019
248,2017-03-01,RWW,1,6890,953,2632
251,2017-03-01,RBL,1,8068,1965,2546
254,2017-03-01,RRF,1,7741,936,1972
255,2017-03-01,RCB,1,9036,1664,3543
257,2017-03-01,RTK,1,8355,1383,1982
263,2017-03-01,RXH,1,12686,2158,3561
266,2017-03-01,RXQ,1,7101,873,2891
272,2017-03-01,RN7,1,8866,904,2514
274,2017-03-01,RBD,1,3607,69,1310
276,2017-03-01,RVV,1,12737,3548,3336
278,2017-03-01,RXC,1,9442,1822,2801
280,2017-03-01,RDU,1,20403,1745,6054
282,2017-03-01,RTE,1,11503,2555,3464
283,2017-03-01,RN3,1,6515,1826,2065
285,2017-03-01,RN5,1,9087,410,2428
288,2017-03-01,R1F,1,3477,788,744
292,2017-03-01,RWF,1,11963,1448,3677
294,2017-03-01,RPA,1,10452,2351,2263
295,2017-03-01,RVJ,1,7222,844,2324
296,2017-03-01,RBZ,1,3521,661,1117
300,2017-03-01,RTH,1,11198,1676,3100
303,2017-03-01,RK9,1,8345,1284,3008
305,2017-03-01,RD3,1,5584,361,1692
307,2017-03-01,RHU,1,9418,2688,2921
311,2017-03-01,RHW,1,9380,594,3063
313,2017-03-01,REF,1,6059,1664,2489
315,2017-03-01,RH8,1,8240,614,1849
317,2017-03-01,RA2,1,5854,205,2017
318,2017-03-01,RD1,1,6218,1379,2103
320,2017-03-01,RNZ,1,3807,303,1062
328,2017-03-01,RTP,1,8344,412,2264
330,2017-03-01,RBA,1,5394,311,1773
332,2017-03-01,RDZ,1,6326,428,1876
334,2017-03-01,RA9,1,5933,503,2530
336,2017-03-01,RHM,1,8622,1012,3456
338,2017-03-01,RA7,1,9307,1869,2918
340,2017-03-01,RYR,1,11417,515,3199
342,2017-03-01,RA3,1,4350,972,1007
347,2017-03-01,RA4,1,3963,62,1404
348,2017-02-01,RF4,1,17917,2694,4208
351,2017-02-01,R1H,1,25955,6186,5820
356,2017-02-01,RQM,1,14482,1942,3188
358,2017-02-01,RJ6,1,5761,1374,2021
362,2017-02-01,RVR,1,10654,534,3003
364,2017-02-01,RJ1,1,10683,1471,2867
368,2017-02-01,RQX,1,8790,507,1498
370,2017-02-01,RYJ,1,8452,2565,2835
373,2017-02-01,RJZ,1,15070,3754,4017
376,2017-02-01,RAX,1,7677,1121,1646
378,2017-02-01,RJ2,1,16054,3095,4397
380,2017-02-01,R1K,1,10644,4616,4050
384,2017-02-01,RAP,1,13091,2314,2233
388,2017-02-01,RAL,1,16388,2485,3255
391,2017-02-01,RJ7,1,11454,1178,3429
394,2017-02-01,RAS,1,5179,2175,1697
398,2017-02-01,RKE,1,7431,995,1181
399,2017-02-01,RRV,1,10584,1144,1831
404,2017-02-01,RDD,1,10152,847,2179
405,2017-02-01,RC1,1,5530,444,1818
407,2017-02-01,RQ3,1,4586,183,837
408,2017-02-01,RJF,1,4493,498,1698
410,2017-02-01,RGT,1,8094,2093,2787
412,2017-02-01,RFS,1,5840,703,1780
414,2017-02-01,RDE,1,6371,779,2331
417,2017-02-01,RTG,1,9800,1367,3279
421,2017-02-01,RWH,1,8079,1935,2856
425,2017-02-01,RLT,1,5658,1015,948
428,2017-02-01,RR1,1,16808,3902,5165
431,2017-02-01,RQQ,1,3353,765,703
432,2017-02-01,RGQ,1,6478,723,1885
434,2017-02-01,RGP,1,5269,683,1159
436,2017-02-01,RNQ,1,6587,1502,2195
440,2017-02-01,RC9,1,7677,199,2466
445,2017-02-01,RQ8,1,6980,838,2121
447,2017-02-01,RD8,1,6430,1181,1305
450,2017-02-01,RM1,1,8464,2061,2264
452,2017-02-01,RGN,1,6853,1104,2107
454,2017-02-01,RNS,1,7796,1899,2812
458,2017-02-01,RX1,1,13183,3028,3507
465,2017-02-01,RXK,1,12951,3034,2869
468,2017-02-01,RK5,1,7642,565,2372
470,2017-02-01,RXW,1,8779,2497,2195
475,2017-02-01,RJC,1,4651,225,1571
477,2017-02-01,RAJ,1,7328,1079,2123
480,2017-02-01,RNA,1,7769,1064,2149
482,2017-02-01,RQW,1,7459,2395,1494
483,2017-02-01,RCX,1,4553,433,1981
484,2017-02-01,RL4,1,9797,1689,2276
486,2017-02-01,RWD,1,11196,2759,3123
487,2017-02-01,RRK,1,8753,1654,2531
488,2017-02-01,RKB,1,10339,2822,3448
491,2017-02-01,RWE,1,10612,2793,3361
494,2017-02-01,RJE,1,12948,3777,4000
497,2017-02-01,RBK,1,5593,1636,1693
500,2017-02-01,RWG,1,7178,2324,2473
502,2017-02-01,RGR,1,5050,812,1860
503,2017-02-01,RWP,1,8647,2957,2602
505,2017-02-01,RLQ,1,3908,965,1062
507,2017-02-01,REM,1,6217,1713,2244
509,2017-02-01,RCF,1,4577,254,971
510,2017-02-01,RBS,1,4536,137,963
511,2017-02-01,RFF,1,6281,943,1999
512,2017-02-01,RXL,1,6229,2417,2021
514,2017-02-01,RMC,1,7749,1231,2040
516,2017-02-01,RAE,1,9969,988,2667
519,2017-02-01,RWY,1,11252,737,2408
520,2017-02-01,RW3,1,11747,2453,3303
523,2017-02-01,RLN,1,7168,1242,2545
526,2017-02-01,RJR,1,5275,713,1338
528,2017-02-01,RXP,1,9468,1603,3128
531,2017-02-01,RP5,1,9793,1360,2945
533,2017-02-01,RJN,1,3436,775,858
535,2017-02-01,RXR,1,7824,2365,2836
538,2017-02-01,RR7,1,6572,387,1488
540,2017-02-01,RCD,1,3290,208,787
542,2017-02-01,RWA,1,9827,1957,2887
545,2017-02-01,RXN,1,5084,1506,1545
548,2017-02-01,RR8,1,15978,2830,4782
554,2017-02-01,RBT,1,4861,410,1594
556,2017-02-01,RXF,1,17442,3092,4347
557,2017-02-01,RNL,1,6822,945,1819
558,2017-02-01,RVW,1,5220,481,1510
562,2017-02-01,RJL,1,9989,2698,2400
564,2017-02-01,RTF,1,7094,1223,3497
566,2017-02-01,RW6,1,20121,5159,4778
569,2017-02-01,RQ6,1,6775,2290,1961
572,2017-02-01,RM3,1,7598,1723,2331
574,2017-02-01,RCU,1,4342,112,612
575,2017-02-01,RHQ,1,8460,2947,2550
578,2017-02-01,RTR,1,8954,933,1761
580,2017-02-01,RE9,1,4414,285,1135
582,2017-02-01,RVY,1,5712,1228,1637
584,2017-02-01,RBN,1,7740,2008,3010
586,2017-02-01,RWJ,1,6831,1695,2139
587,2017-02-01,RMP,1,6352,835,1570
588,2017-02-01,RTD,1,9419,997,2019
591,2017-02-01,RFR,1,5567,1417,1408
593,2017-02-01,RM2,1,7435,964,2367
594,2017-02-01,RTX,1,6113,1385,1825
596,2017-02-01,RWW,1,5985,1428,2261
599,2017-02-01,RBL,1,7050,2076,2114
602,2017-02-01,RRF,1,6605,1063,1585
603,2017-02-01,RCB,1,7930,2504,3062
605,2017-02-01,RTK,1,7498,1503,1875
611,2017-02-01,RXH,1,11012,2366,3149
614,2017-02-01,RXQ,1,6153,1161,2550
620,2017-02-01,RN7,1,7750,1313,2137
622,2017-02-01,RBD,1,3084,192,1171
624,2017-02-01,RVV,1,10975,3700,3030
626,2017-02-01,RXC,1,7951,1903,2433
628,2017-02-01,RDU,1,17357,1527,5308
630,2017-02-01,RTE,1,9772,2248,3207
631,2017-02-01,RN3,1,5913,2076,2077
633,2017-02-01,RN5,1,7789,1022,2054
636,2017-02-01,R1F,1,3039,600,666
640,2017-02-01,RWF,1,10386,1789,3204
642,2017-02-01,RPA,1,8460,2016,1948
643,2017-02-01,RVJ,1,6160,1128,2097
644,2017-02-01,RBZ,1,3116,522,953
648,2017-02-01,RTH,1,9816,2005,2794
651,2017-02-01,RK9,1,7229,1085,2656
653,2017-02-01,RD3,1,4830,414,1465
655,2017-02-01,RHU,1,7901,2493,2452
659,2017-02-01,RHW,1,8112,817,2665
661,2017-02-01,REF,1,5324,1324,2344
663,2017-02-01,RH8,1,7214,637,1699
665,2017-02-01,RA2,1,4979,307,1786
666,2017-02-01,RD1,1,5272,1229,1753
668,2017-02-01,RNZ,1,3223,543,954
676,2017-02-01,RTP,1,7142,647,2172
678,2017-02-01,RBA,1,4751,332,1584
680,2017-02-01,RDZ,1,5527,441,1706
682,2017-02-01,RA9,1,5146,809,2243
684,2017-02-01,RHM,1,7349,1528,2937
686,2017-02-01,RA7,1,7904,1816,2597
688,2017-02-01,RYR,1,9715,659,2840
690,2017-02-01,RA3,1,3683,1125,910
695,2017-02-01,RA4,1,3374,133,1270
696,2017-01-01,RF4,1,20430,5247,4519
699,2017-01-01,R1H,1,28420,7426,6435
704,2017-01-01,RQM,1,16920,3141,3339
706,2017-01-01,RJ6,1,6618,1438,2197
710,2017-01-01,RVR,1,11643,652,3264
712,2017-01-01,RJ1,1,11677,1840,3149
716,2017-01-01,RQX,1,10039,710,1639
718,2017-01-01,RYJ,1,9744,3197,3139
721,2017-01-01,RJZ,1,16752,4887,4419
724,2017-01-01,RAX,1,8628,1652,1782
726,2017-01-01,RJ2,1,17998,4454,4657
728,2017-01-01,R1K,1,11961,5897,4587
732,2017-01-01,RAP,1,14751,3543,2498
736,2017-01-01,RAL,1,18559,3690,3556
739,2017-01-01,RJ7,1,12656,1879,3871
742,2017-01-01,RAS,1,5686,2776,1856
746,2017-01-01,RKE,1,8255,1414,1268
747,2017-01-01,RRV,1,11130,1517,2030
751,2017-01-01,RDD,1,11165,1385,2361
752,2017-01-01,RC1,1,6024,555,1908
754,2017-01-01,RQ3,1,5130,248,1072
755,2017-01-01,RJF,1,5150,1157,1914
757,2017-01-01,RGT,1,8801,2361,3100
759,2017-01-01,RFS,1,6644,1393,2059
761,2017-01-01,RDE,1,6902,1627,2597
764,2017-01-01,RTG,1,10806,2386,3700
768,2017-01-01,RWH,1,8657,2148,3300
772,2017-01-01,RLT,1,6258,1380,1138
775,2017-01-01,RR1,1,18898,5019,5787
778,2017-01-01,RQQ,1,3571,884,802
779,2017-01-01,RGQ,1,6788,1073,2123
781,2017-01-01,RGP,1,5882,740,1281
783,2017-01-01,RNQ,1,7088,2095,2378
787,2017-01-01,RC9,1,8331,183,2711
792,2017-01-01,RQ8,1,7343,1748,2374
794,2017-01-01,RD8,1,7028,1621,1307
797,2017-01-01,RM1,1,8944,2311,2275
799,2017-01-01,RGN,1,7547,2278,2211
801,2017-01-01,RNS,1,8353,1712,2380
805,2017-01-01,RX1,1,14017,3472,4073
812,2017-01-01,RXK,1,13929,2932,3212
815,2017-01-01,RK5,1,8295,919,2788
817,2017-01-01,RXW,1,9289,2882,2360
822,2017-01-01,RJC,1,4949,379,1700
824,2017-01-01,RAJ,1,7989,1484,2446
826,2017-01-01,RNA,1,8593,1903,2460
828,2017-01-01,RQW,1,8076,3019,1525
829,2017-01-01,RCX,1,4996,684,2142
830,2017-01-01,RL4,1,10711,2416,2700
832,2017-01-01,RWD,1,12238,2977,3522
833,2017-01-01,RRK,1,9640,2585,2919
834,2017-01-01,RKB,1,11313,3361,3874
837,2017-01-01,RWE,1,11691,4146,3729
840,2017-01-01,RJE,1,14046,4583,4206
843,2017-01-01,RBK,1,6401,2418,1965
846,2017-01-01,RWG,1,7670,2696,2768
848,2017-01-01,RGR,1,5353,681,2019
849,2017-01-01,RWP,1,9170,3174,2928
852,2017-01-01,RLQ,1,4195,1060,1084
854,2017-01-01,REM,1,6896,2880,2229
856,2017-01-01,RCF,1,4996,580,997
857,2017-01-01,RBS,1,4829,131,1111
858,2017-01-01,RFF,1,6947,894,2227
859,2017-01-01,RXL,1,6534,2406,2136
861,2017-01-01,RMC,1,8074,1875,2334
863,2017-01-01,RAE,1,11080,1468,3075
866,2017-01-01,RWY,1,12385,967,2746
867,2017-01-01,RW3,1,12022,2741,3687
870,2017-01-01,RLN,1,7906,1681,2838
873,2017-01-01,RJR,1,5675,1080,1599
875,2017-01-01,RXP,1,10652,2797,3465
878,2017-01-01,RP5,1,10771,1990,3376
880,2017-01-01,RJN,1,3822,1153,980
882,2017-01-01,RXR,1,9071,3333,3153
885,2017-01-01,RR7,1,7081,606,1687
887,2017-01-01,RCD,1,3575,262,917
889,2017-01-01,RWA,1,10847,2066,3163
892,2017-01-01,RXN,1,6350,1735,1787
895,2017-01-01,RR8,1,17366,3508,5056
901,2017-01-01,RBT,1,5404,1082,1636
903,2017-01-01,RXF,1,19422,4444,4642
904,2017-01-01,RNL,1,7502,1471,2072
905,2017-01-01,RVW,1,5630,600,1729
909,2017-01-01,RJL,1,10715,2370,2569
911,2017-01-01,RTF,1,8126,1493,3831
913,2017-01-01,RW6,1,21943,6004,5261
916,2017-01-01,RQ6,1,7521,2659,2204
919,2017-01-01,RM3,1,8292,1933,2643
920,2017-01-01,RCU,1,4549,76,626
921,2017-01-01,RHQ,1,9180,2735,2976
924,2017-01-01,RTR,1,9800,1156,2065
926,2017-01-01,RE9,1,4925,725,1266
928,2017-01-01,RVY,1,6048,1236,1814
930,2017-01-01,RBN,1,8609,2619,3250
932,2017-01-01,RWJ,1,7257,2140,2355
933,2017-01-01,RMP,1,7037,1638,1773
934,2017-01-01,RTD,1,9872,1405,2200
937,2017-01-01,RFR,1,6275,1876,1575
939,2017-01-01,RM2,1,8151,1295,2563
940,2017-01-01,RTX,1,6612,1664,2051
942,2017-01-01,RWW,1,6598,1431,2661
945,2017-01-01,RBL,1,7665,1972,2527
948,2017-01-01,RRF,1,6852,1604,1798
949,2017-01-01,RCB,1,8546,3160,3362
951,2017-01-01,RTK,1,8219,1664,2099
957,2017-01-01,RXH,1,11727,2903,3274
960,2017-01-01,RXQ,1,6779,1474,2746
966,2017-01-01,RN7,1,8267,2229,2325
968,2017-01-01,RBD,1,3402,193,1326
970,2017-01-01,RVV,1,11837,4875,3216
972,2017-01-01,RXC,1,8771,2335,2663
974,2017-01-01,RDU,1,19458,2980,6133
976,2017-01-01,RTE,1,10613,2697,3482
977,2017-01-01,RN3,1,6556,1995,2425
979,2017-01-01,RN5,1,8914,1974,2429
982,2017-01-01,R1F,1,3244,819,830
986,2017-01-01,RWF,1,11206,3056,3431
988,2017-01-01,RPA,1,9088,2548,2061
989,2017-01-01,RVJ,1,6687,1651,2380
990,2017-01-01,RBZ,1,3429,403,1128
994,2017-01-01,RTH,1,10450,1833,3223
997,2017-01-01,RK9,1,7728,1634,2945
999,2017-01-01,RD3,1,5315,653,1777
1001,2017-01-01,RHU,1,8906,2966,2979
1005,2017-01-01,RHW,1,9158,1209,3112
1007,2017-01-01,REF,1,5580,1366,2515
1009,2017-01-01,RH8,1,7798,757,1954
1011,2017-01-01,RA2,1,5570,767,2059
1012,2017-01-01,RD1,1,5818,1763,2167
1014,2017-01-01,RNZ,1,3550,581,1126
1022,2017-01-01,RTP,1,7711,1004,2391
1024,2017-01-01,RBA,1,5198,453,1823
1026,2017-01-01,RDZ,1,5994,665,1982
1028,2017-01-01,RA9,1,5863,1088,2540
1030,2017-01-01,RHM,1,8230,1472,3311
1032,2017-01-01,RA7,1,8566,1985,2967
1034,2017-01-01,RYR,1,10512,1030,3159
1036,2017-01-01,RA3,1,4073,1471,1074
1041,2017-01-01,RA4,1,3812,162,1578
1042,2016-12-01,RF4,1,21096,3929,4644
1045,2016-12-01,R1H,1,29522,7298,6780
1050,2016-12-01,RQM,1,16931,2675,3671
1052,2016-12-01,RJ6,1,6551,1483,2190
1056,2016-12-01,RVR,1,12585,768,3414
1058,2016-12-01,RJ1,1,12254,1716,3216
1062,2016-12-01,RQX,1,10278,642,1733
1064,2016-12-01,RYJ,1,9996,3530,3274
1067,2016-12-01,RJZ,1,17326,5682,4487
1070,2016-12-01,RAX,1,9191,1417,1896
1072,2016-12-01,RJ2,1,18393,4254,5098
1074,2016-12-01,R1K,1,12163,5392,4705
1078,2016-12-01,RAP,1,14918,3078,2657
1082,2016-12-01,RAL,1,19157,3695,3816
1085,2016-12-01,RJ7,1,12785,1537,3818
1088,2016-12-01,RAS,1,5868,2777,1731
1092,2016-12-01,RKE,1,8238,1169,1307
1093,2016-12-01,RRV,1,11196,1565,2001
1097,2016-12-01,RDD,1,11910,1316,2484
1098,2016-12-01,RC1,1,6147,614,1916
1100,2016-12-01,RQ3,1,5297,368,985
1101,2016-12-01,RJF,1,5228,1190,1793
1103,2016-12-01,RGT,1,9127,2262,3084
1105,2016-12-01,RFS,1,6708,1247,1980
1107,2016-12-01,RDE,1,7272,2135,2555
1109,2016-12-01,RTG,1,11375,2504,3702
1113,2016-12-01,RWH,1,9048,1983,3408
1117,2016-12-01,RLT,1,6396,1119,1100
1120,2016-12-01,RR1,1,18850,4047,5865
1123,2016-12-01,RQQ,1,3574,1007,740
1124,2016-12-01,RGQ,1,7206,692,2078
1126,2016-12-01,RGP,1,6005,616,1296
1128,2016-12-01,RNQ,1,7469,1546,2584
1132,2016-12-01,RC9,1,8572,171,2760
1137,2016-12-01,RQ8,1,7412,1471,2475
1139,2016-12-01,RD8,1,7931,1585,1336
1142,2016-12-01,RM1,1,9632,2151,2533
1145,2016-12-01,RGN,1,8206,2454,2233
1147,2016-12-01,RNS,1,8679,1596,2568
1151,2016-12-01,RX1,1,14569,3901,4212
1158,2016-12-01,RXK,1,13578,3319,3339
1161,2016-12-01,RK5,1,8466,722,2828
1163,2016-12-01,RXW,1,9667,2523,2323
1168,2016-12-01,RJC,1,5226,393,1655
1170,2016-12-01,RAJ,1,8375,2252,2428
1172,2016-12-01,RNA,1,8720,1495,2687
1174,2016-12-01,RQW,1,8432,2584,1616
1175,2016-12-01,RCX,1,4970,348,1907
1176,2016-12-01,RL4,1,10541,1591,2588
1178,2016-12-01,RWD,1,12617,2837,3594
1179,2016-12-01,RRK,1,9449,2179,2882
1180,2016-12-01,RKB,1,11507,3100,3930
1183,2016-12-01,RWE,1,12221,4881,3942
1186,2016-12-01,RJE,1,14278,5110,4458
1189,2016-12-01,RBK,1,6268,2093,1888
1192,2016-12-01,RWG,1,8117,2452,3012
1194,2016-12-01,RGR,1,5511,744,1977
1195,2016-12-01,RWP,1,9735,3568,2968
1198,2016-12-01,RLQ,1,4490,1318,1123
1200,2016-12-01,REM,1,6945,2918,2202
1202,2016-12-01,RCF,1,5335,694,1042
1203,2016-12-01,RBS,1,5230,402,1091
1204,2016-12-01,RFF,1,6980,1149,2140
1205,2016-12-01,RXL,1,6902,2690,2251
1207,2016-12-01,RMC,1,8874,1959,2430
1209,2016-12-01,RAE,1,11737,2104,3285
1212,2016-12-01,RWY,1,12735,957,2701
1214,2016-12-01,RW3,1,12681,2380,3754
1217,2016-12-01,RLN,1,8164,1090,2926
1220,2016-12-01,RJR,1,5912,1152,1548
1222,2016-12-01,RXP,1,10593,2360,3302
1225,2016-12-01,RP5,1,10927,1811,3422
1227,2016-12-01,RJN,1,4153,884,1006
1229,2016-12-01,RXR,1,9428,3024,3253
1232,2016-12-01,RR7,1,7549,504,1755
1234,2016-12-01,RCD,1,4065,363,998
1236,2016-12-01,RWA,1,10770,1504,3376
1239,2016-12-01,RXN,1,7640,2308,2045
1242,2016-12-01,RR8,1,17763,4275,5030
1248,2016-12-01,RBT,1,5284,752,1813
1250,2016-12-01,RXF,1,19596,4516,4750
1251,2016-12-01,RNL,1,7406,1053,2105
1252,2016-12-01,RVW,1,5811,658,1787
1256,2016-12-01,RJL,1,10790,2115,2655
1258,2016-12-01,RTF,1,8620,2083,3799
1260,2016-12-01,RW6,1,22409,5784,5449
1263,2016-12-01,RQ6,1,7524,2709,2198
1266,2016-12-01,RM3,1,8662,1413,2898
1267,2016-12-01,RCU,1,5114,177,664
1268,2016-12-01,RHQ,1,9465,3380,2771
1271,2016-12-01,RTR,1,10109,992,2103
1273,2016-12-01,RE9,1,4833,444,1290
1275,2016-12-01,RVY,1,6506,1013,2014
1277,2016-12-01,RBN,1,8599,2234,3333
1279,2016-12-01,RWJ,1,7897,2414,2484
1280,2016-12-01,RMP,1,7165,1703,1764
1281,2016-12-01,RTD,1,10614,1422,2361
1284,2016-12-01,RFR,1,2572,535,721
1285,2016-12-01,RM2,1,8542,1389,2796
1286,2016-12-01,RTX,1,7222,1578,2214
1288,2016-12-01,RWW,1,6544,1489,2639
1291,2016-12-01,RBL,1,8142,1819,2588
1294,2016-12-01,RRF,1,7470,1298,1864
1295,2016-12-01,RCB,1,9147,2887,3464
1297,2016-12-01,RTK,1,8574,1661,2095
1303,2016-12-01,RXH,1,12300,2597,3467
1306,2016-12-01,RXQ,1,7043,1456,2895
1312,2016-12-01,RN7,1,8993,2187,2565
1314,2016-12-01,RBD,1,3439,77,1274
1316,2016-12-01,RVV,1,12487,4481,3384
1318,2016-12-01,RXC,1,9136,2055,2793
1320,2016-12-01,RDU,1,19713,2228,6370
1322,2016-12-01,RTE,1,10843,2809,3396
1323,2016-12-01,RN3,1,6665,2085,2415
1325,2016-12-01,RN5,1,8976,1391,2445
1328,2016-12-01,R1F,1,3391,672,821
1332,2016-12-01,RWF,1,11901,2740,3546
1334,2016-12-01,RPA,1,10002,2640,2248
1335,2016-12-01,RVJ,1,6908,1523,2323
1336,2016-12-01,RBZ,1,3613,405,1099
1340,2016-12-01,RTH,1,10813,1105,3612
1343,2016-12-01,RK9,1,7874,1289,2905
1345,2016-12-01,RD3,1,5406,567,1688
1347,2016-12-01,RHU,1,9081,3065,3018
1351,2016-12-01,RHW,1,9238,846,3095
1353,2016-12-01,REF,1,5840,1324,2617
1355,2016-12-01,RH8,1,8087,677,1972
1357,2016-12-01,RA2,1,5975,1051,2166
1358,2016-12-01,RD1,1,6028,993,2144
1360,2016-12-01,RNZ,1,3703,433,1051
1368,2016-12-01,RTP,1,8662,883,2659
1370,2016-12-01,RBA,1,5388,460,1853
1372,2016-12-01,RDZ,1,6080,433,1823
1374,2016-12-01,RA9,1,5959,1128,2584
1376,2016-12-01,RHM,1,8467,1280,3308
1378,2016-12-01,RA7,1,9091,2196,3021
1380,2016-12-01,RYR,1,11485,1106,3532
1382,2016-12-01,RA3,1,4235,1413,1016
1387,2016-12-01,RA4,1,4082,245,1535
1388,2016-11-01,RF4,1,20117,2612,4441
1391,2016-11-01,R1H,1,28843,5298,6612
1396,2016-11-01,RQM,1,16478,1985,3399
1398,2016-11-01,RJ6,1,6179,1044,2207
1402,2016-11-01,RVR,1,12294,562,3066
1404,2016-11-01,RJ1,1,12129,2487,3123
1408,2016-11-01,RQX,1,9946,663,1605
1410,2016-11-01,RYJ,1,9741,3094,3058
1413,2016-11-01,RJZ,1,16842,4568,4329
1416,2016-11-01,RAX,1,8776,1159,1731
1418,2016-11-01,RJ2,1,17774,3695,4868
1420,2016-11-01,R1K,1,11526,4062,4715
1424,2016-11-01,RAP,1,13981,2301,2877
1428,2016-11-01,RAL,1,18771,3278,3816
1431,2016-11-01,RJ7,1,12654,911,3709
1434,2016-11-01,RAS,1,5701,2295,1766
1438,2016-11-01,RKE,1,8271,1232,1270
1439,2016-11-01,RRV,1,11512,1673,1979
1443,2016-11-01,RDD,1,11284,789,2268
1444,2016-11-01,RC1,1,5998,434,1694
1446,2016-11-01,RQ3,1,5680,584,1116
1447,2016-11-01,RJF,1,5081,780,1723
1449,2016-11-01,RGT,1,9273,2545,2823
